epoch,lr-AdamW,step,test_loss,test_mae,test_mse,train_loss,train_mae,train_mse,val_loss,val_mae,val_mse
,0.0001,0,,,,,,,,,
0,,1111,,,,,,,0.12097422778606415,0.22037158906459808,0.12097420543432236
0,,1111,,,,0.18150830268859863,0.2855060398578644,0.18150830268859863,,,
,0.0001,1112,,,,,,,,,
1,,2223,,,,,,,0.11596590280532837,0.2121019959449768,0.11596590280532837
1,,2223,,,,0.14228671789169312,0.24557135999202728,0.14228667318820953,,,
,0.0001,2224,,,,,,,,,
2,,3335,,,,,,,0.1139633059501648,0.2092151641845703,0.11396332085132599
2,,3335,,,,0.1375676840543747,0.23876099288463593,0.1375676840543747,,,
,0.0001,3336,,,,,,,,,
3,,4447,,,,,,,0.11286263167858124,0.20710135996341705,0.11286263167858124
3,,4447,,,,0.1349778175354004,0.23545518517494202,0.1349778175354004,,,
,0.0001,4448,,,,,,,,,
4,,5559,,,,,,,0.11184518784284592,0.2049432396888733,0.11184518784284592
4,,5559,,,,0.13324089348316193,0.23340055346488953,0.13324087858200073,,,
,0.0001,5560,,,,,,,,,
5,,6671,,,,,,,0.11142822355031967,0.204851433634758,0.11142822355031967
5,,6671,,,,0.1318434774875641,0.23179124295711517,0.1318434774875641,,,
,0.0001,6672,,,,,,,,,
6,,7783,,,,,,,0.11053099483251572,0.2035590559244156,0.11053099483251572
6,,7783,,,,0.13075391948223114,0.23060742020606995,0.13075391948223114,,,
,0.0001,7784,,,,,,,,,
7,,8895,,,,,,,0.11170630156993866,0.20463639497756958,0.11170628666877747
7,,8895,,,,0.1297767013311386,0.22953839600086212,0.12977668642997742,,,
,0.0001,8896,,,,,,,,,
8,,10007,,,,,,,0.11023062467575073,0.20327727496623993,0.11023061722517014
8,,10007,,,,0.12893611192703247,0.22875158488750458,0.12893609702587128,,,
,0.0001,10008,,,,,,,,,
9,,11119,,,,,,,0.11015847325325012,0.20373289287090302,0.11015847325325012
9,,11119,,,,0.12820273637771606,0.22804561257362366,0.12820275127887726,,,
10,,11120,0.11016624420881271,0.2037108689546585,0.11016623675823212,,,,,,
